"time","yah_flow_vol","pb_flow_vol","total_inflow_volume"
"1979-01-01",1860935.5584,64634.1984,1925569.7568
"1979-01-02",1774431.2736,55926.0288,1830357.3024
"1979-01-03",1691678.6496,49796.4672,1741475.1168
"1979-01-04",1612059.7536,44981.568,1657041.3216
"1979-01-05",1536581.4912,41227.3152,1577808.8064
"1979-01-06",1465374.9312,38290.4064,1503665.3376
"1979-01-07",1397970.576,35810.8128,1433781.3888
"1979-01-08",520116.768,33832.512,553949.28
"1979-01-09",1274923.8432,32391.6192,1307315.4624
"1979-01-10",1218332.88,31040.8416,1249373.7216
"1979-01-11",1157704.1856,27745.5456,1185449.7312
"1979-01-12",1095391.8144,21444.3072,1116836.1216
"1979-01-13",1082122.5888,22956.48,1105079.0688
"1979-01-14",1074683.376,28958.5152,1103641.8912
"1979-01-15",1030848.8544,27945.1296,1058793.984
"1979-01-16",997537.9392,29311.4592,1026849.3984
"1979-01-17",961416.5184,30038.1696,991454.688
"1979-01-18",897346.08,22357.296,919703.376
"1979-01-19",900797.5008,29342.736,930140.2368
"1979-01-20",877600.9152,30671.4816,908272.3968
"1979-01-21",844511.9616,30566.0736,875078.0352
"1979-01-22",800927.0496,26814.5856,827741.6352
"1979-01-23",774890.496,24551.9424,799442.4384
"1979-01-24",790710.5088,32505.5808,823216.0896
"1979-01-25",764628.1632,32147.712,796775.8752
"1979-01-26",735951.3984,30904.9344,766856.3328
"1979-01-27",718622.496,31788.288,750410.784
"1979-01-28",701152.1568,32476.9824,733629.1392
"1979-01-29",682431.5232,32736.528,715168.0512
"1979-01-30",663446.0736,32577.8112,696023.8848
"1979-01-31",648653.184,33085.6704,681738.8544
"1979-02-01",634170.0384,33430.0608,667600.0992
"1979-02-02",620427.7728,33530.544,653958.3168
"1979-02-03",608008.032,33701.0112,641709.0432
"1979-02-04",597390.0768,33996.4992,631386.576
"1979-02-05",587688.1344,34291.296,621979.4304
"1979-02-06",578950.416,34623.5904,613574.0064
"1979-02-07",571008.7008,35014.8096,606023.5104
"1979-02-08",562530.4416,35188.7328,597719.1744
"1979-02-09",553544.3232,34980.2496,588524.5728
"1979-02-10",540219.1968,33432.7392,573651.936
"1979-02-11",529787.2608,31849.9776,561637.2384
"1979-02-12",548228.8224,37399.1904,585628.0128
"1979-02-13",542584.8288,37494.144,580078.9728
"1979-02-14",536294.736,37707.4656,574002.2016
"1979-02-15",529211.3184,37654.6752,566865.9936
"1979-02-16",523758.0096,37805.9616,561563.9712
"1979-02-17",518111.5968,37779.7824,555891.3792
"1979-02-18",513374.112,37783.9296,551158.0416
"1979-02-19",511172.2944,38338.272,549510.5664
"1979-02-20",495219.8304,36374.0544,531593.8848
"1979-02-21",527835.1392,48226.6656,576061.8048
"1979-02-22",565814.8512,67367.4624,633182.3136
"1979-02-23",608877.8208,93550.9824,702428.8032
"1979-02-24",589420.1088,80732.7648,670152.8736
"1979-02-25",590540.544,80480.5632,671021.1072
"1979-02-26",597229.2,79416.4608,676645.6608
"1979-02-27",600593.7888,73739.5488,674333.3376
"1979-02-28",598468.176,65792.2176,664260.3936
"1979-03-01",600014.304,59729.2704,659743.5744
"1979-03-02",581599.0944,48041.7696,629640.864
"1979-03-03",653712.336,85435.2576,739147.5936
"1979-03-04",722892.7296,136130.8896,859023.6192
"1979-03-05",734500.4832,113632.848,848133.3312
"1979-03-06",742296.096,107741.5776,850037.6736
"1979-03-07",764127.0432,107532.9216,871659.9648
"1979-03-08",692598.2976,111267.4752,803865.7728
"1979-03-09",803540.4768,97721.0784,901261.5552
"1979-03-10",802381.8528,82789.344,885171.1968
"1979-03-11",805359.888,73040.2272,878400.1152
"1979-03-12",774755.7984,65903.8464,840659.6448
"1979-03-13",888296.3712,104175.4176,992471.7888
"1979-03-14",855870.8832,90720.432,946591.3152
"1979-03-15",852303.0816,82037.7504,934340.832
"1979-03-16",854781.552,80672.976,935454.528
"1979-03-17",983033.4528,138993.1488,1122026.6016
"1979-03-18",1438888.4064,420271.9776,1859160.384
"1979-03-19",1614373.4592,628688.5632,2243062.0224
"1979-03-20",1833296.4576,723951.9072,2557248.3648
"1979-03-21",1468436.0832,481339.152,1949775.2352
"1979-03-22",1627724.4192,310916.7072,1938641.1264
"1979-03-23",2013822.3456,327873.312,2341695.6576
"1979-03-24",2190780.432,295900.2144,2486680.6464
"1979-03-25",2311050.8736,268521.8688,2579572.7424
"1979-03-26",2328348.0672,205888.8672,2534236.9344
"1979-03-27",2298290.3712,153289.4112,2451579.7824
"1979-03-28",2411535.7152,198353.1456,2609888.8608
"1979-03-29",2486981.3184,243539.2224,2730520.5408
"1979-03-30",2553787.5264,275170.2624,2828957.7888
"1979-03-31",2522472.9696,247473.792,2769946.7616
"1979-04-01",2500331.76,213684.8256,2714016.5856
"1979-04-02",2539258.2432,208182.96,2747441.2032
"1979-04-03",2462597.6832,173629.44,2636227.1232
"1979-04-04",2379520.2816,147981.0816,2527501.3632
"1979-04-05",2294949.2832,131006.0736,2425955.3568
"1979-04-06",2188203.12,113143.5648,2301346.6848
"1979-04-07",2071800.9792,97448.9184,2169249.8976
"1979-04-08",1958462.4096,86180.7168,2044643.1264
"1979-04-09",1845658.7424,77734.944,1923393.6864
"1979-04-10",2251657.3536,71795.808,2323453.1616
"1979-04-11",2169936.6048,74145.2832,2244081.888
"1979-04-12",2101325.1552,78936.2496,2180261.4048
"1979-04-13",1986552.9504,71352.0576,2057905.008
"1979-04-14",1887212.5632,67338.6048,1954551.168
"1979-04-15",1796800.8384,65068.0128,1861868.8512
"1979-04-16",1708914.9312,62361.9648,1771276.896
"1979-04-17",1621020.6432,58354.8192,1679375.4624
"1979-04-18",1538387.3376,54591.408,1592978.7456
"1979-04-19",1460201.1264,51061.7088,1511262.8352
"1979-04-20",1398796.3872,51007.3632,1449803.7504
"1979-04-21",1339786.4832,49842.3456,1389628.8288
"1979-04-22",1277954.6688,48516.1056,1326470.7744
"1979-04-23",1208882.9664,45278.2656,1254161.232
"1979-04-24",1156289.1264,44588.7072,1200877.8336
"1979-04-25",1173064.2048,71129.3184,1244193.5232
"1979-04-26",1256380.7616,103517.0496,1359897.8112
"1979-04-27",1236711.8016,122460.1632,1359171.9648
"1979-04-28",1238344.7616,138259.5264,1376604.288
"1979-04-29",1284882.48,168061.9104,1452944.3904
"1979-04-30",1292395.3056,156945.6864,1449340.992
"1979-05-01",1289974.2912,137439.6768,1427413.968
"1979-05-02",1349766.8064,156322.656,1506089.4624
