"doc_r_out","doc_l_out","poc_r_out","poc_l_out"
NA,NA,NA,NA
1246644.432,0,124664.4432,0
551292.551799365,17.0052553445315,46370.642731458,68.021021378126
1129204.20102866,108.435331614011,79848.063764871,415.11073048163
1189486.00267721,239.88970784725,70799.743538752,881.556745924439
1131911.21174494,365.215242209304,56749.8983384555,1274.78138477091
1150890.44129895,447.045026465701,48628.8725173038,1426.60762187228
1160405.31065904,605.858426781087,41357.1604315614,1869.51314115894
1138471.55872237,655.514398932947,34259.1856720764,1838.18721621091
1090378.51103161,704.882931824367,27732.2548482629,1841.00941520867
1123544.60126761,863.654335345552,24175.7429898733,2203.37703030999
1099335.20837673,905.744668269509,20047.1971539788,2123.65095309188
1109728.71892431,999.831331114337,17176.8742104845,2216.51116542311
1066520.22407598,1021.87705986559,14041.9764121136,2109.46800051006
1090719.37585412,1245.91393997153,12237.127489146,2696.71907697367
1108897.42281296,1474.10998346825,10633.4759897312,3232.57329403395
1091126.90587831,1587.69856229593,8973.51573339813,3335.46707001463
1137806.5030729,1830.4294983677,8050.83711194751,3750.05595239708
1046487.54538231,1831.78274572117,6403.8003894009,3620.85333491145
1025319.66548139,1900.20760070151,5436.84135363677,3539.45792367206
1109105.46917459,2228.05049855656,5117.28346037803,4061.42777943248
1081725.476048,2263.04791120301,4379.94291812449,3850.84069043035
1088341.4870591,2377.2951913063,3886.19594440845,3824.42334710197
1093480.11153216,2580.09807479052,3466.8048806136,4168.23972834849
1080384.25307423,2754.44268101625,3063.22692644717,4466.55426134873
1066012.46851792,2826.76218120393,2720.49337154599,4336.33542728708
1050750.80439776,2935.3627576143,2429.37394265061,4387.36113170021
1037115.19411479,2935.70548045626,2186.48184555417,3998.63409132492
1024418.97231664,2947.39528980973,1982.30920008738,3711.5773129931
1010576.84680345,3042.73078011246,1806.63952389191,3816.95394709128
1000996.7298004,3048.5754907087,1663.57117767019,3522.41715547323
991180.849217765,3166.19895564924,1541.11052638165,3724.77665607631
981567.629101219,3225.47229301399,1436.43394876217,3671.81017711458
847938.186149733,2858.78001642772,1174.55016581755,3142.61320740658
950684.102022687,3295.91515713366,1234.29288662898,3537.1306949173
953886.153055412,3359.64801015596,1184.52019016054,3412.96875872011
943741.137613413,3470.62227261423,1127.64624807589,3643.63722136122
937815.27754961,3612.50465971216,1082.14638171637,3925.9363652423
930491.729955894,3637.54216887717,1040.84509815601,3725.04825356477
764423.93888326,2991.9938816251,831.558749805309,2783.26928786403
919616.383188547,3724.66615447514,952.323002541575,3547.10753152205
