"Lake","Date","Year","Month","DOY","Precip","SW_Inflw","TOTAL_GW_INTO_LAKE","Total_Inputs"
"SP","1975-09-30",1975,9,273,0,0,0,0
"SP","1975-10-01",1975,10,274,1410,0,341,1751
"SP","1975-10-02",1975,10,275,844,0,346,1190
"SP","1975-10-03",1975,10,276,0,0,348,348
"SP","1975-10-04",1975,10,277,0,0,353,353
"SP","1975-10-05",1975,10,278,0,0,360,360
"SP","1975-10-06",1975,10,279,0,0,367,367
"SP","1975-10-07",1975,10,280,0,0,373,373
"SP","1975-10-08",1975,10,281,0,0,379,379
"SP","1975-10-09",1975,10,282,0,0,384,384
"SP","1975-10-10",1975,10,283,0,0,390,390
"SP","1975-10-11",1975,10,284,681,0,402,1083
"SP","1975-10-12",1975,10,285,258,0,402,660
"SP","1975-10-13",1975,10,286,1240,0,416,1656
"SP","1975-10-14",1975,10,287,518,0,411,929
"SP","1975-10-15",1975,10,288,670,0,416,1086
"SP","1975-10-16",1975,10,289,0,0,411,411
"SP","1975-10-17",1975,10,290,0,0,414,414
"SP","1975-10-18",1975,10,291,0,0,417,417
"SP","1975-10-19",1975,10,292,0,0,419,419
"SP","1975-10-20",1975,10,293,0,0,422,422
"SP","1975-10-21",1975,10,294,0,0,424,424
"SP","1975-10-22",1975,10,295,0,0,427,427
"SP","1975-10-23",1975,10,296,258,0,430,688
"SP","1975-10-24",1975,10,297,7160,0,524,7684
"SP","1975-10-25",1975,10,298,6430,0,506,6936
"SP","1975-10-26",1975,10,299,12300,0,586,12886
"SP","1975-10-27",1975,10,300,0,0,394,394
"SP","1975-10-28",1975,10,301,0,0,396,396
"SP","1975-10-29",1975,10,302,0,0,399,399
"SP","1975-10-30",1975,10,303,0,0,400,400
"SP","1975-10-31",1975,10,304,0,0,401,401
"SP","1975-11-01",1975,11,305,0,0,403,403
"SP","1975-11-02",1975,11,306,0,0,405,405
"SP","1975-11-03",1975,11,307,0,0,407,407
"SP","1975-11-04",1975,11,308,0,0,409,409
"SP","1975-11-05",1975,11,309,0,0,411,411
"SP","1975-11-06",1975,11,310,0,0,414,414
"SP","1975-11-07",1975,11,311,0,0,416,416
"SP","1975-11-08",1975,11,312,430,0,421,851
"SP","1975-11-09",1975,11,313,2350,0,452,2802
"SP","1975-11-10",1975,11,314,1350,0,431,1781
"SP","1975-11-11",1975,11,315,47600,0,500,48100
